2020-03-15,Lee,Alabama,01081,1,0
2020-03-16,Lee,Alabama,01081,1,0
2020-03-17,Lee,Alabama,01081,3,0
2020-03-18,Lee,Alabama,01081,7,0
2020-03-19,Lee,Alabama,01081,10,0
2020-03-20,Lee,Alabama,01081,11,0
2020-03-21,Lee,Alabama,01081,12,0
2020-03-22,Lee,Alabama,01081,16,0
2020-03-23,Lee,Alabama,01081,19,0
2020-03-24,Lee,Alabama,01081,26,0
2020-03-25,Lee,Alabama,01081,40,0
2020-03-26,Lee,Alabama,01081,47,0
2020-03-27,Lee,Alabama,01081,53,0
2020-03-28,Lee,Alabama,01081,56,0
2020-03-29,Lee,Alabama,01081,57,0
