date,cases,deaths
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,1,0
2020-01-29,1,0
2020-01-30,2,0
2020-01-31,2,0
2020-02-01,2,0
2020-02-02,2,0
2020-02-03,2,0
2020-02-04,2,0
2020-02-05,2,0
2020-02-06,2,0
2020-02-07,2,0
2020-02-08,2,0
2020-02-09,2,0
2020-02-10,2,0
2020-02-11,2,0
2020-02-12,2,0
2020-02-13,2,0
2020-02-14,2,0
2020-02-15,2,0
2020-02-16,2,0
2020-02-17,2,0
2020-02-18,2,0
2020-02-19,2,0
2020-02-20,2,0
2020-02-21,2,0
2020-02-22,2,0
2020-02-23,2,0
2020-02-24,2,0
2020-02-25,2,0
2020-02-26,2,0
2020-02-27,2,0
2020-02-28,2,0
2020-02-29,3,0
2020-03-01,3,0
2020-03-02,4,0
2020-03-03,4,0
2020-03-04,4,0
2020-03-05,5,0
2020-03-06,6,0
2020-03-07,6,0
2020-03-08,7,0
2020-03-09,11,0
2020-03-10,19,0
2020-03-11,25,0
2020-03-12,32,0
2020-03-13,46,0
2020-03-14,66,0
2020-03-15,94,0
2020-03-16,104,0
2020-03-17,159,1
2020-03-18,286,1
2020-03-19,420,4
2020-03-20,583,5
2020-03-21,751,6
2020-03-22,1047,9
2020-03-23,1285,12
2020-03-24,1535,16
2020-03-25,1875,21
2020-03-26,2538,26
2020-03-27,3029,37
2020-03-28,3547,50
2020-03-29,4613,70
2020-03-30,5070,84
